categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Aliments et boissons à base de végétaux|U|Marrons glacés gros morceaux, aux gousses vanille bourbon de Madagascar|c|Marrons, sucre, sirop de glucose, humectant : sorbitol, vanille en gousses Bourbon de Madagascar, conservateur : sorbate de potassium.|1218|1.2|45.6|6.2|1|0.1|||||||||||||||||0||E202 - Sorbate de potassium,E420 - Sorbitol,E420i - Sorbitol|
Aliments et boissons à base de végétaux|U|Pâte feuilletée épaisse prête à dérouler|d|Farine de BLÉ, préparation de matières grasses végétales, eau, alcool éthylique, sel, jus de citron concentré, agent de traitement de la farine : L-cystéine. Traces éventuelles de LAIT.|1650|23|2.5|1|5.9|0.96|||||||||||||||||1|en:gluten,en:milk|E1510 - Éthanol,E160 - Caroténoïdes,E920 - L-Cystéine et ses chlorhydrates|
Aliments et boissons à base de végétaux|U Bio, U|Galettes 4 céréales au riz de Camargue|a|Riz de Camargue complet* et semi-complet* 91.7%, SESAME* 2%, millet* 2%, sarrasin* 2%, quinoa* 2%, sel marin, émulsifiant : lécithine de tournesol.*Ingrédient issu de l'agriculture biologique.|1702|3.4|0.4|3.2|8.8|0.3|||||||||||||||||0|en:sesame-seeds|E322 - Lécithines,E322i - Lécithine|
Aliments et boissons à base de végétaux|U Bio, U|Lentilles blondes|a|Lentilles blondes**Ingrédient issu de d'agriculture biologique Traces éventuelles de céréales contenant du gluten et soja.|1409|1.7|1|11|24|0|||||||||||||||||0|||
Aliments et boissons à base de végétaux|U Bon & Végétarien, U|Galette boulgour, pois chiche et légumes du soleil,|a|Boulgour 32%, pois chiches précuits 20%, poivrons jaunes 9%, tomates 8%, courgettes, échalotes, huile d'olive extra vierge 6%, tomates mi-séchées 3%, purée de tomate double concentré 3%, aromate, sel, épaississant : méthylcellulose, ail en poudre 0.3%. Traces éventuelles de céleri, lait, oeuf, poissons, soja, crustacés, moutarde et mollusques.|607|7|2.1|4.2|4.5|0.6|||||||||||||||||0|en:gluten|E461 - Méthylcellulose|
Aliments et boissons à base de végétaux|U Saveurs,U|Marrons Glacés Entiers, aux Gousses de Vanille Bourbon de Madagascar|c|Marrons, sirop de glucose, sucre, humectant : sorbitol. vanilie en gousses Bourbon, conservateur : sorbate de potassium. |1331|0.9|46|3|1|0.06|||||||||||||||||0||E202 - Sorbate de potassium,E420 - Sorbitol,E420i - Sorbitol|
Aliments et boissons à base de végétaux|Vahiné|Bigarreaux confits de Provence|c|Bigarreaux, sucre, correcteur d'acidité : acide citrique, conservateurs : sorbate de potassium, _anhydride sulfureux_, colorant : carmins.|1482|0.5|72||0.9|0.1|||||||||||||||||0|anhydride sulfureux|E120 - Acide carminique,E202 - Sorbate de potassium,E220 - Anhydride sulfureux,E330 - Acide citrique|
Aliments et boissons à base de végétaux|Val Nantais|La Mâche|a|Mâche|88|0|0|2.12|2.2|0.05|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Vendôme|Marrons Glacés Gros Morceaux|d|Morceaux de marrons, sirop de glucose, sucre, sorbitol, vanille en gousses bourbon, sorbate de potassium.|1322|0.9|46||1|0.06|||||||||||||||||0||E202 - Sorbate de potassium,E420 - Sorbitol,E420i - Sorbitol|
Aliments et boissons à base de végétaux|Vico,Intersnack|L'Impec|d|Raisins 37%, NOISETTES 22%, CACAHUÈTES 16%, AMANDES 13%, NOIX DE CAJOU 9.7%, huile de tournesol. Traces éventuelles Fabriqué dans un atelier utilisant du GLUTEN, des ARACHIDES, du SOJA, du LAIT et d'autres FRUITS À COQUE.|2230|37|30||13|0.02|||||||||||||||||0|en:nuts,en:peanuts||
Aliments et boissons à base de végétaux|Vico,Intersnack,Natur'& Bon|NOIX DE CAJOU NATURELLES NON SALÉES|d|NOIX DE CAJOU crues. Traces éventuelles Fabriqué dans un atelier utilisant du GLUTEN, des ARACHIDES, du SOJA, du LAIT et d'autres FRUITS À COQUE.|2506|47|6.1||19|0|||||||||||||||||0|en:celery,en:gluten,en:nuts,en:peanuts,en:soybeans||
Aliments et boissons à base de végétaux|Vico,Intersnack,Natur'& Bon|Mélange de Noix Nobles|c|Raisins secs 34.6%, AMANDES blanchies crues 25%, NOIX crues 25%, NOISETTES avec peau crues 15%, agent d'enrobage : huile de tournesol. Traces éventuelles Fabriqué dans un atelier utilisant du GLUTEN, des ARACHIDES, du SOJA, du LAIT et d'autres FRUITS À COQUE.|2289|40|23|5|14|0.09|||||||||||||||||0|en:gluten,en:milk,en:nuts,en:soybeans||
Aliments et boissons à base de végétaux|Vico,Intersnack,Natur'& Bon|Nature & Bon Mélange Fruité non salé|e|AMANDES 30%, sucre, papaye 16.8%, ananas 16.2%, NOIX DE PECAN 10%, correcteur d'acidité : acide citrique, arôme naturel. Traces éventuelles Fabriqué dans un atelier utilisant du GLUTEN, des ARACHIDES, du SOJA, du LAIT, d'autres FRUITS À COQUE.|1954|23|48||8.7|0.5|||||||||||||||||0|en:milk,en:peanuts,en:soybeans|E330 - Acide citrique|
Aliments et boissons à base de végétaux|Vico,Intersnack,Natur'& Bon|Nature et bon, Amandes naturelles, non salées|d|AMANDES crues. Traces éventuelles Fabriqué dans un atelier utilisant du GLUTEN, des ARACHIDES, du SOJA, du LAIT et d'autres FRUITS À COQUE.|2565|52|3.9||26|1|||||||||||||||||0|en:milk||
Aliments et boissons à base de végétaux|Videlys|Mogettes de Vendée|a|Haricots Mogette de Vendée.|1406|1.2|4|24.9|21.1|1.01|||||||||||||||||0|||
Aliments et boissons à base de végétaux|Vite bon,Cérélia|Pâte feuilletée|d|Farine de _blé_, eau, graisses et huiles végétales non hydrogénées, alcool éthylique, sel, jus de citron concentré, agent de traitement de la farine : L-cystéine.|1443|15.2|0.9|1.8|6.6|1.14|||||||||||||||||1|en:gluten|E1510 - Éthanol,E920 - L-Cystéine et ses chlorhydrates|
Aliments et boissons à base de végétaux|Wofoo|Pousses de haricot mungo|a|Pousses de haricot mungo.|94|0.4|1.6|1.8|2.5|0.02|||||||||||||||||0|||
Aliments et boissons à base de végétaux|carrefour|Pâte sablée|d|Farine de blé 45%, graisses végétales, sucre, eau, alcool éthylique, sel, jus de citron concentré, colorant : caroténoïdes. Peut contenir des traces de lait.|1784|22|17|1.6|4.9|0.3|||||||||||||||||1||E1510 - Éthanol,E160 - Caroténoïdes|
Aliments et boissons à base de végétaux|légumor,Haudecoeur|Maïs Pop Corn|a|Graine de Maïs|1117|4.7|0||9.4|0|||||||||||||||||0|||
Aliments et boissons à base de végétaux|picard|2 Pâtes brisées|d|Farine de _blé_, beurre22.2%, eau, sucre, sel, agent de traitement de la farine: L-cystéine|1546|17.2|4|1.9|6.2|1.06|||||||||||||||||0|blé, gluten, lait|E920 - L-Cystéine et ses chlorhydrates|
Aliments et boissons à base de végétaux|quinoa d'Anjou|quinoa d'Anjou|a|Graines entières de Chenopodium quinoa variété Pasto COV EU 19049 pures.|1478|6.9|4.1|8.7|13.4|0.009652||||||||||||0.074|0.152||0.0058||0|||
Bananes-frites|Daco bello|Bananes chips|e|banane, huile de coco, sucre de canne, arôme naturel|2142|26.6|17.5|0.7|1.9|0|||||||||||||||||0|||
Basilic-en-tube|Les mets de provence|Basilic broyé en huile METS DE PROVENCE, tube de|d|Basilic 65%, huile de tournesol, huile d'olive vierge extra, sel, ail, concentré de citron|1142|26.6|1.9||1.5|3.6|||||||||||||||||0|||
Beignets|Les Délices des 7 Vallées|8 mini-beignets fourrés aux fruits rouges|d|Farine de BLÉ, fourrage aux fruits rouges 24 %, eau, sirop de glucose-fructose de BLÉ, sucre, épaississant : E1442. arômes, conservateur : E202), graisses végétales [colza, palme durable], eau, ŒUF, sucre, BEURRE, décor, GLUTEN de BLÉ, levure, sel, émulsifiant : E471. colorant : E160a, antioxydant : E300. malt de BLÉ.|1351|14|12||5.4|0.7|||||||||||||||||1|BLÉ, BLÉ, ŒUF, BEURRE, BLÉ, GLUTEN, BLÉ, BLÉ|E1442 - Phosphate de diamidon hydroxypropyle,E160a - Bêta-carotène,E202 - Sorbate de potassium,E300 - Acide ascorbique,E471 - Mono- et diglycérides d'acides gras alimentaires|
Beignets|Mono Mulhouse|6 Mini Beignets Fourrés à la Framboise.|c|Farine de BLÉ Français 38 %, fourrage framboise 25 %, sirop de glucose - fructose, eau, sucre, épaississant [E442), colorant, arôme, conservateur), eau , huiles végétales, ŒUFS frais 5 %, sucre, levure, sel, GLUTEN de BLE, BEURRE, maltodextrines, protéines de LAIT, épaississants, émulsifiants, colorant, agent de traitement de la farine.|1226|11|12|2.4|5.6|0.97|||||||||||||||||0|BLÉ, ŒUFS, GLUTEN, BLE, BEURRE, LAIT|E160a - Bêta-carotène,E211 - Benzoate de sodium,E300 - Acide ascorbique,E412 - Gomme de guar,E415 - Gomme xanthane,E442 - Phosphatides d'ammonium,E471 - Mono- et diglycérides d'acides gras alimentaires,E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras|
Beignets|Mono Mulhouse|Beignets Gourmands à la Framboise|c|Farine de BLÉ Français 38 %, fourrage framboise 25 %, sirop de glucose - fructose, eau, sucre, épaississant [E442), colorant, arôme, conservateur), eau , huiles végétales, ŒUFS frais 5 %, sucre, levure, sel, GLUTEN de BLE, BEURRE, maltodextrines, protéines de LAIT, épaississants, émulsifiants, colorant, agent de traitement de la farine.|1226|11|12|2.4|5.6|0.97|||||||||||||||||0|BLÉ, ŒUFS, GLUTEN, BLE, BEURRE, LAIT|E160a - Bêta-carotène,E211 - Benzoate de sodium,E300 - Acide ascorbique,E412 - Gomme de guar,E415 - Gomme xanthane,E442 - Phosphatides d'ammonium,E471 - Mono- et diglycérides d'acides gras alimentaires,E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras|
Beurres|Auchan|Beurre tendre demi-sel|e|Beurre pasteurisé, sel 2%.|3033|80|0.5||0.7|2|||||||||||||||||0|lait||
Beurres|Auchan|Beurre tendre doux|e|Beurre pasteurisé.|3109|82|0.5||0.7|0|||||||||||||||||0|lait||
Beurres|Auchan|Beurre moulé doux|e|Beurre.|3113|82|0.6||0.8|0.05|||||||||||||||||0|||
Beurres|Auchan|Beurre Moulé Demi-Sel|e|Beurre pasteurisé, sel 2 %.|3071|81|0.7||0.6|2|||||||||||||||||0|en:milk||
Beurres|Auchan|Beurre Moulé Doux|e|Crème de lait pasteurisée, ferments lactiques. conseils de conservation|3109|82|0.6||0.7|0.03|||||||||||||||||0|||
Beurres|Auchan Bio,Auchan|Beurre doux|e|Beurre pasteurisé issu de l'agriculture bioloigique.|3109|82|0.6||0.7|0.04|||||||||||||||||0|en:milk||
Beurres|Beillevaire|Préparation de Beurre aux Piments d'Espelette|e|Beurre de _baratte_ 95 %, sel 2.5%, piments d'Espelette 2.5 %.|2963|79|0.9||0.9|2.4|||||||||||||||||0|fr:Baratte||
Beurres|Belle France|Beurre Demi-Sel|e|_Crème_ fraîche pasteurisée, sel, ferments lactiques.|3038|80|0.9||0.7|1.9|||||||||||||||||0|||
Beurres|Belle France|Beurre doux Bio|e|_crème_ pasteurisée issue de l'agriculture biologique, ferments _lactiques_.|3058|82|0.8||0.6|0.05|||||||||||||||||0|crème, lactiques||
Beurres|Beurre du moulin|Beurre du moulin Doux|e|_beurre_, ferments lactiques.|3130|82|0.14|0|0.7|0.05|||||||||||||||||0|beurre||
Beurres|Beurrerie d'Etrez,Laiterie Coopérative d’Etrez|Beurre aux Cristaux de Sel des Alpes|d|_Crème_ pasteurisée, Sel, ferments lactiques.|3192|84.43|0.4||0.42|0.21|||||||||||||||||0|en:milk||
Beurres|Beurrerie de mon village,Lebeau,Beurrerie de mon village Lebeau,Lebeau Beurre|Doux|d|Beurreorigine UE.|3010|82|1||0.7|0|||||||||||||||||0|lait||
Beurres|Bio Village,Marque Repère|Beurre moulé doux|e|_Crème_ pasteurisée, ferments lactiques.|3113|82|0.9|0|0.7|0.05|||||||||||||||||0|Lait||
Beurres|Biocoop|Beurre de baratte doux|e|crème de _lait_* pasteurisée, ferments _lactiques_ * ingrédient issus de l'agriculture biologique|3109|82|0.6||0.7|0.025|||||||||||||||||0|en:milk||
Beurres|Bordier|Beurre de Baratte au Sarrazin|e|_Beurre_ doux, sarrazin, sel.|2958|75|5||1|2.8|||||||||||||||||0|Beurre||
Beurres|Bordier|Le Beurre Bordier|e|_Beurre_ de baratte doux  |3056|82|0.6|0.6|0.7|0.04|||||||||||||||||0|Beurre||
Beurres|Bretel,N.V.T.|Beurre pasteurisé salé|e|Beurre, sel 3 %.|3217|85|0|0|0|2.5|6e-05||||||||||||||||0|LAIT||
Beurres|Bridelight|Margarine 15 % doux|d|eau, matière grasse de lait, amidon, lactose, amidon modifié, sel, émulsifiants : E471. E476. épaississant : E 466. concentré lactique, conservateur : sorbate de potassium, arômes naturels, colorant : béta-carotène,vitamines A et E.|657|15|1.9||0|0.8|0.00045||0.0015||||||||||||||0|en:milk|E14XX - Amidons modifiés,E160a - Bêta-carotène,E160ai - Bêta-carotène,E202 - Sorbate de potassium,E466 - Carboxyméthylcellulose,E471 - Mono- et diglycérides d'acides gras alimentaires,E476 - Esters polyglycériques d'acides gras d'huile de ricin|
Beurres|C'est qui le patron ?!,La marque du consommateur|Le beurre bio Demi-sel des consommateurs|e|_Crème_ issue de l'agriculture biologique, sel 2%, ferments lactiques|3033|80|0.6||0.7|2|||||||||||||||||0|en:milk||
Beurres|C'est qui le patron ?!,La marque du consommateur|Le beurre bio des consommateurs|e|_Crème_ issue de l'agriculture biologique, ferments lactiques.|3109|82|0.6||0.7|0.04|||||||||||||||||0|en:milk||
Beurres|Candia,babette|Babette Fine Saveur 60% Moulé Doux|d|Beurre, eau, amidon modifié, émulsifiant : E471. E472c, sel, correcteur d'acidité : concentré lactique, conservateur : sorbate de potassium, arôme, colorant : béta-carotène, vitamine E.|2246|60|0.4||0.5|0.25|||||||||||||||||0|lait, lait, lait|E14XX - Amidons modifiés,E160a - Bêta-carotène,E160ai - Bêta-carotène,E202 - Sorbate de potassium,E307 - Alphatocophérol,E471 - Mono- et diglycérides d'acides gras alimentaires,E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires|
Beurres|Carrefour|Beurre  Demi-sel Tendre|e|Beurre, sel 2%.|2989|80|0.6||0.7|1.9|||||||||||||||||0|Beurre||
Beurres|Carrefour|Beurre de baratte doux|e|Crème de _lait_ pasteurisée, ferments _lactiques_ sélectionnés.|3109|82|0.6||0.7|0.0299999999999999|||||||||||||||||0|lait, lactiques||
Beurres|Carrefour|Beurre doux Bio|e|Beurre issu de l'agriculture biologique.|3056|82|0.6|0|0.7|0.04|||||||||||||||||0|||
Beurres|Carrefour|Beurre moulé de baratte Demi-sel Bio|e|crème de lait pasteurisée biologie sel 2% ferments lactiques|3038|80|0.8||0.8|2|||||||||||||||||0|||
Beurres|Carrefour Bio,Carrefour|Beurre moulé de Baratte doux|e|Crème de lait pasteurisée biologique, ferments lactiques.|3117|82|1|0|0.7|0|||||||||||||||||0|Lait||
Beurres|Carrefour Light,Carrefour|Doux 25% mg|d|Eau, beurre, amidons modifiés de tapioca et de maïs, sel, acidifiant : acide lactique, émulsifiant : mono - et diglycérides d'acides gras de tournesol et de colza, conservateur : sorbate de potassium, colorant : caroténoïdes, vitamine E, arôme naturel.|1074|25|0.5||0.5|0.69|||||||||||||||||0|en:milk|E14XX - Amidons modifiés,E160 - Caroténoïdes,E202 - Sorbate de potassium,E270 - Acide lactique,E307 - Alphatocophérol|
Beurres|Casino|Beurre tendre doux|e|Beurre [_crème_ de _lait_ pasteurisée, ferments lactiques].|3054|82|0.5||0.7|0.03|||||||||||||||||0|en:milk||
Beurres|Casino|Beurre doux Bio|e|_Beurre doux_*- *Issu de l'agriculture biologique.|3054|82|0.5|0|0.7|0.0254|||||||||||||||||0|Beurre doux||
Beurres|Casino|Beurre Moulé Extra-Fin Demi-sel|e|_Crème_ de _lait_ pasteurisée- sel 2.2% - ferments lactiques.|2969|80|0|0|0.5|2.2|||||||||||||||||0|||
Beurres|Casino|Mini Beurres doux x20|e|_Beurre._  Lait origine : France.|3058|82|0.6|0.1|0.8|0.05|||||||||||||||||0|||
Beurres|Casino Bio, Casino|Beurre moulé demi sel BIO|e|_Crème_ de _lait_ pasteurisée*- sel 2% - ferments lactiques. * biologique. Les informations en _gras_ sont destinées aux personnes intolérantes ou allergiques.|2980|80|0.5||0.7|2|||||||||||||||||0|Crème, lait, lait||
Beurres|Deleu,S.A.R.L. Deleu|Beurre Salé à la Fleur de Sel|e|Beurre, sel 4 % maximum.|2966|80|0.6||0.7|3.2|||||||||||||||||0|lait||
Beurres|Dia|Beurre aux cristaux de sel de mer de l'île de Noirmoutier|e|Beurre, seldont cristaux de sel de mer 2%.|2977|80|0.4|0|0.6|3|||||||||||||||||0|||
Beurres|Echiré|Beurre de baratte d'excellence doux|e|Crème pasteurisée issue de _LAIT_ de vache, ferments lactiques.|3088|82|0.5||0.5|0.1|||||||||||||||||0|en:milk||
Beurres|Elle & Vire|Beurre Demi-Sel Elle&Vire|e|_Beurre_, eau, sel, ferment lactique.|2289|60|0.8|0|1|1.83|||||||||||||||||0|Beurre, lait||
Beurres|Elle & Vire|Le Mini Beurre gastronomique demi-sel|e|_Beurre_, sel.|3033|80|0.7|0|0.6|2|0.0008||||||||||||||||0|Beurre||
Beurres|Ensemble,Biocoop|Beurre baratte|e|Crème de lait pasteurisée, ferments lactiques|3109|82|0.6||0.7|0.025|||||||||||||||||0|Lait||
Beurres|Envia|Beurre bio moulé doux|e|beurrepasteurisé doux. 1 : ingrédient issu de l'agriculture biologique.|3059|82|0.6||0.7|0.03|||||||||||||||||0|Lait,Lait1||
Beurres|Envia,Lidl|Beurre de Bretagne Doux|e|Beurre).|3109|82|0.6||0.7|0.04|||||||||||||||||0|en:milk||
Beurres|Eurial|Beurre Doux Plaquette|e|_Beurre_|3130|82.6|0.14||0.7|0|||||||||||||||||0|Beurre||
Beurres|Franprix|Beurre moulé cristaux de sel|e|_Crème_ pasteurisée, sel 3 %, ferments _lactiques_.|2979|80|0.5||0.7|3|||||||||||||||||0|en:milk||
Beurres|Grand Fermage|Beurre moulé biologique doux|e|_Crème_ pasteurisée, ferments lactiques|3061|82|0.9||0.7|0.05|||||||||||||||||0|Lait||
Beurres|Grand Fermage|Beurre Moulé Biologique Demi-Sel|e|_Crème_ pasteurisée*, sel 3 % maximum, ferments lactiques. *Ingrédient issu de l'agriculture biologique.|3038|80|0.7||0.7|2|||||||||||||||||0|Crème, ferments lactiques||
Beurres|Grand Fermage|Beurre demi-sel aux cristaux de sel de mer|e|_beurre_, cristaux de sel marin 2 %, sel 1 % maxi.|2987|80|1||0.6|3|||||||||||||||||0|beurre, beurre||
Beurres|Grand Fermage|Beurre AOP Charentes-Poitou demi-sel|e|_Crème_ fraîche pasteurisée, sel ajouté : 2% maximum, ferments lactiques.|2987|80|0.9||0.7|1.9|||||||||||||||||0|Crème||
Beurres|Grand Fermage|Charentes Poitou Doux AOP|e|_Crème_ fraîche pasteurisée, ferments lactiques.|3061|82|0.9||0.7|0.05|||||||||||||||||0|Crème||
Beurres|Grand Fermage|Beurre moulé doux Charentes-Poitou AOP|e|_crème_ fraîche pasteurisée, ferments lactiques.|3061|82|0.9||0.7|0.05|||||||||||||||||0|crème||
Beurres|Grand Fermage,EURIAL|Beurre Biologigue Demi Sel aux Cristaux de Sel de Mer de Noirmoutier|e|_Beurre_, cristaux de sel marin 2%, sel 1% maxi|3020|81|0.6||0.6|2.4|||||||||||||||||0|Beurre||
Beurres|Grand Jury|Beurre de Bretagne doux|e|Crème de _lait_ pasteurisée, ferments lactiques.|3130|82|0.5||0.7|0.03|||||||||||||||||0|lait||
Beurres|Grandeur Nature|Beurre de baratte|e|crème de lait pasteurisée*, ferments lactiques, sel 1.8%, salade de la mer*0.5%. *Ingrédient issu de l'agriculture biologique.|3033|80|0.6|0.2|0.7|1.8|||||||||||||||||0|en:milk||
Beurres|Kerguillet|Beurre demi-sel salé en baratte au sel de Guérande|e|Beurre 80% Mat.Gr., sel ajouté 3% maximum. |3017|82|0.58||0.7|3.1|||||||||||||||||0|||
Beurres|Le Gall|Grand Cru Doux|e|_Crème_ de lait non pasteurisée, ferments _lactiques_.|3109|82|0.6||0.7|0.03|||||||||||||||||0|Lait||
Beurres|Le Hameau|Beurre Le Hameau demi-sel|e|Beurre, sel 3 % max.|3038|80|0.5||0.8|2.5|||||||||||||||||0|Lait||
Beurres|Le Petit Beurrier|Beurre doux|e|Beurre.|3151|83|0.9||0.7|0.05|||||||||||||||||0|en:milk||
Beurres|Leader Price|Beurre tendre demi-sel|e|_Crème_, matière grasse _laitière_, ferments _lactiques_, sel.|2980|80|0.5||0.7|2|||||||||||||||||0|Crème, laitière, lactiques||
Beurres|Les Croisés,Marque Repère|Beurre extra-fin doux|e|_Beurre_ extra-fin doux 82 % de matières grasses.|3113|82|0.6|0|0.8|0.1|||||||||||||||||0|Beurre||
Beurres|Les Croisés,Marque Repère|20 Mini Beurres gastronomiques Doux|e|20 portions de _beurre_ doux. 82% de matières grasses.|3059|82|0.6|0|0.8|0.1|||||||||||||||||0|beurre||
Beurres|Les Croisés,Marque Repère|Beurre Léger Demi-Sel|e|Eau, _beurre_, amidons modifiés de maïs et de manioc, sel 1.4%, acidifiant : E270. émulsifiant : E471. épaississant : E466. conservateur : E202. colorant : E160a, arôme naturel.|1548|40|1.5|0|0.3|1.4|||||||||||||||||0|beurre|E14XX - Amidons modifiés,E160a - Bêta-carotène,E202 - Sorbate de potassium,E270 - Acide lactique,E466 - Carboxyméthylcellulose,E471 - Mono- et diglycérides d'acides gras alimentaires|
Beurres|Les Délices de Belle France,Belle France|Beurre d'Isigny doux|e|Crème de _lait_ pasteurisée, ferments|3054|82|0.5|0|0.7|0.1|||||||||||||||||0|lait||
Beurres|Les Petites Laiteries|Beurre cru à la baratte demi-sel croquant|e|_Crème_ crue, fleur de sel 2.5 %, ferments lactiques.|3042|80|0.5||0.6|2.8|||||||||||||||||0|||
Beurres|Maison Deret|Beurre de Baratte|e|_Crème_ pasteurisée, ferments lactiques.|3109|82|0.6||0.7|0.03|||||||||||||||||0|en:milk||
Beurres|Mmm !,Auchan|Beurre de Baratte extra-fin Demi-Sel|e|_Crème_ pasteurisée, ferments lactiques, sel 2 %.|3033|80|0.5||0.7|2.03|||||||||||||||||0|en:milk||
Beurres|Mmm !,Auchan|Beurre de Baratte Doux|d|Crème de _lait_ pasteurisée, ferments _lactiques_ sélectionnés.|3109|83|0.6||0.7|0.03|||||||||||||||||0|en:milk||
Beurres|Monoprix|Beurre Doux Extra-Fin|e|_Crème_ de _lait_ pasteurisée, ferments lactiques.|3109|82|0.6||0.7|0.04|||||||||||||||||0|Crème, lait, lait||
Beurres|Monoprix|Beurre moulé doux|e|Crème de lait pasteurisée, ferments lactiques.|3096|82|0||0.5|0.05|||||||||||||||||0|en:milk||
Beurres|Nature Bio|Beurre de baratte demi-sel|e|Crème de _lait_ pasteurisée - sel 2% - ferments _lactiques_.|3038|80|0.5|0|0.8|2|||||||||||||||||0|lait, lactiques||
Beurres|Netto|Beurre moulé aux cristaux de Sel de Guérande|e|_Crème_ pasteurisée, sel de Guérande, ferments lactiques|2984|80|0.9||0.5|4|||||||||||||||||0|Crème||
Beurres|Noisy,Elle & Vire|Le Beurre Gourmand Noisy|e|Beurre doux|3113|82|0.8||0.7|0.1|0.0008||||||||||||||||0|||
Beurres|Nos Régions ont du Talent|Beurre extra fin de charentes poitou à la fleur de sel|e|_Crème de lait_ de vache, eau, fleur de sel 2%, ferments lactiques.|3059|81|0.5|0|0.6|1.7|||||||||||||||||0|Crème de lait, lactose||
Beurres|Notre Montagne|Beurre de Baratte|e|_Crème_ pasteurisée, ferments lactiques.|3105|82|0.5||0.4|0.02|||||||||||||||||0|Crème||
Beurres|Osé Bio|Beurre Doux Bio|e|Crème de _lait_ pasteurisée*, ferments lactiques. * Issue de l'agriculture biologique.|3054|82|0.5||0.7|0.1|||||||||||||||||0|Lait||
Beurres|Paysan Breton,Laïta|Paysan Breton Beurre demi sel|e|_Beurre_, sel.|3038|80|0.6||0.8|2|||||||||||||||||0|Beurre||
Beurres|Primevère|Primevere bio sel de mer|d|huiles et graisses végétales biologiques non hydrogénées1. eau, sel de mer 1.4%, émulsifiants : lécithine de _soja_ biologique*, arômes naturels, jus de citron concentré biologique*. *Ingrédients d'origine végétale 1 Ces huiles et graisses végétales donnent à ce produit Primevère un profil riche en acides gras insaturés oméga 3.6.9formulé avec l'aide du Service Nutrition de l'Institut Pasteur de Lille.|2071|55|0||0|1.4|||0.013||||||||||||||1|en:soybeans|E322 - Lécithines,E322i - Lécithine|
Beurres|Président|La Motte aux cristaux de sel|e|Beurre, sel|3042|80|1||0.7|2.5|||||||||||||||||0|||
Beurres|Président|Beurre Gastronomique Doux|e|_Beurre_.|3117|82|1||0.7|0.03|6.02e-07||||||||||||||||0|Lait, Beurre, crème||
Beurres|Président|Beurre Doux|e|_Beurre_.|3117|82|1||0.7|0.0299999999999999|0.000602||||||||||||||||0|Beurre, crème||
Beurres|Président Professionnel,Président|Tartimalin Demi Sel 40 %|d|Eau, _beurre_, amidon modifié E1422. sel, amidon de pomme de terre, acidifiant acide lactique, émulsifiant E471. épaississant E466. conservateur : sorbate de potassium, colorant: béta carotène, arôme naturel.|1590|40|0||0|1|||||||||||||||||0|beurre|E1422 - Adipate de diamidon acétylé,E14XX - Amidons modifiés,E160a - Bêta-carotène,E160ai - Bêta-carotène,E202 - Sorbate de potassium,E270 - Acide lactique,E466 - Carboxyméthylcellulose,E471 - Mono- et diglycérides d'acides gras alimentaires|
Beurres|Pâturages|Beurre au Piment d'Espelette Demi-Sel|e|_Beurre_, piment d'Espelette AOP, sel.|2989|80|0.5||0.6|1.6|||||||||||||||||0|Beurre||
Beurres|Pâturages,Intermarché|Beurre|e|_Crème_ pasteurisée, sel, ferments _lactiques_.|3033|80|0.7|0|0.5|2.2|0.000605||||||||||||||||0|Crème, lactiques||
Beurres|Pâturages,Sélection Intermarché,Intermarché|Beurre Gastronomique Fin Demi-Sel|e|Crème pasteurisé, sel, _ferments lactiques_.|2980|80|0.7||0.5|2|||||||||||||||||0|Lait||
Beurres|Saxo,Promocash|Beurre Doux|e|_Beurre_.|3109|82|0.6||0.7|0.04|||||||||||||||||0|||
Beurres|Surgeres|Beurre AOP Charentes-Poitou demi-sel|e|_Beurre_, sel.|3033|80|0.7|0|0.6|2|||||||||||||||||0|Beurre||
Beurres|Sèvre& Belle|La Baratte du Crémier, Beurre Cru aux Cristaux de Sel de Ré|e|_Crème_ crue de lait de vache, sel : 2.4% maxi, ferments _lactiques_.|3021|80|0.4|0|0.6|2.4|||||||||||||||||0|Crème, lactiques||
Beurres|Tante Hélène|Beurre de Baratte Doux|e|_Crème de lait pasteurisée_*, ferments lactiques * Issue de l'agriculture biologique|3056|82|0.6||0.7|0.04|||||||||||||||||0|Crème de lait pasteurisée||
Beurres|Tous les jours|Tous les jours beurre demi-sel|e|_Beurre_ pasteurisé - sel|2986|80|0.8|0|0.7|3.048|||||||||||||||||0|Beurre||
Beurres|U|Mini beurre doux 82% de MG|e|Beurre).|3058|82|0.6|0|0.8|0.05|||||||||||||||||0|en:milk||
Beurres|U|Beurre doux|e|Crème de LAIT pasteurisée, ferments LACTIQUES|3060|82|0.6||0.7|0.05|||||||||||||||||0|en:milk||
